Symbol,Name,Sector,Industry,Summary Quote,Exchange
ORMP,Oramed Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ormp,NASDAQ
AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aeye,NASDAQ
FTEK,"Fuel Tech, Inc.",Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/ftek,NASDAQ
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi,NYSE
VUZI,Vuzix Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/vuzi,NASDAQ
CPHC,Canterbury Park Holding Corporation,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/cphc,NASDAQ
NIU,Niu Technologies,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/niu,NASDAQ
SKIS,"Peak Resorts, Inc.",Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/skis,NASDAQ
HYRE,HyreCar Inc.,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/hyre,NASDAQ
TRIB,Trinity Biotech plc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/trib,NASDAQ
PSTI,"Pluristem Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/psti,NASDAQ
SDLP,Seadrill Partners LLC,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sdlp,NYSE
ICLK,iClick Interactive Asia Group Limited,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/iclk,NASDAQ
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arkr,NASDAQ
CIDM,Cinedigm Corp,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/cidm,NASDAQ
SCPH,scPharmaceuticals Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/scph,NASDAQ
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,NASDAQ
CHKR,Chesapeake Granite Wash Trust,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/chkr,NYSE
VIRC,Virco Manufacturing Corporation,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/virc,NASDAQ
YI,"111, Inc.",Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ
PRCP,"Perceptron, Inc.",Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/prcp,NASDAQ
PPIH,"Perma-Pipe International Holdings, Inc.",Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/ppih,NASDAQ
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/bcom,NASDAQ
HZN,Horizon Global Corporation,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/hzn,NYSE
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/awre,NASDAQ
EVER,"EverQuote, Inc.",Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ever,NASDAQ
SORL,"SORL Auto Parts, Inc.",Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/sorl,NASDAQ
RUHN,Ruhnn Holding Limited,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/ruhn,NASDAQ
IRCP,IRSA Propiedades Comerciales S.A.,Consumer Services,Building operators,https://www.nasdaq.com/symbol/ircp,NASDAQ
ORGS,Orgenesis Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/orgs,NASDAQ
HTGM,"HTG Molecular Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/htgm,NASDAQ
TACT,TransAct Technologies Incorporated,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/tact,NASDAQ
PDEX,"Pro-Dex, Inc.",Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/pdex,NASDAQ
AMR,"Alta Mesa Resources, Inc.",Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,NASDAQ
APEN,"Apollo Endosurgery, Inc.",Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/apen,NASDAQ
EDUC,Educational Development Corporation,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/educ,NASDAQ
QUIK,QuickLogic Corporation,Technology,Semiconductors,https://www.nasdaq.com/symbol/quik,NASDAQ
IDRA,"Idera Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/idra,NASDAQ
ORN,"Orion Group Holdings, Inc.",Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/orn,NYSE
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/avnw,NASDAQ
MAYS,"J. W. Mays, Inc.",Consumer Services,Building operators,https://www.nasdaq.com/symbol/mays,NASDAQ
PERI,Perion Network Ltd,Technology,EDP Services,https://www.nasdaq.com/symbol/peri,NASDAQ
OVID,Ovid Therapeutics Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ovid,NASDAQ
INTG,The Intergroup Corporation,Consumer Services,Building operators,https://www.nasdaq.com/symbol/intg,NASDAQ
RFIL,"RF Industries, Ltd.",Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/rfil,NASDAQ
RELL,"Richardson Electronics, Ltd.",Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/rell,NASDAQ
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/artx,NASDAQ
MTEC,MTech Acquisition Corp.,Technology,EDP Services,https://www.nasdaq.com/symbol/mtec,NASDAQ
HBP,"Huttig Building Products, Inc.",Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/hbp,NASDAQ
CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crt,NYSE
DLHC,DLH Holdings Corp.,Technology,Professional Services,https://www.nasdaq.com/symbol/dlhc,NASDAQ
EPE,EP Energy Corporation,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epe,NYSE
RDVT,"Red Violet, Inc.",Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rdvt,NASDAQ
RIOT,"Riot Blockchain, Inc",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/riot,NASDAQ
VCNX,"Vaccinex, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vcnx,NASDAQ
GNCA,"Genocea Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnca,NASDAQ
BAS,"Basic Energy Services, Inc.",Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/bas,NYSE
